
s,x,z,ground,land
24.1368,-181.3061,47.9993,30.6775,30.9775
24.6172,-181.7845,47.9554,30.3291,30.6291
25.0976,-182.2629,47.9115,29.9756,30.2756
25.5780,-182.7413,47.8677,29.6171,29.9171
26.0584,-183.2197,47.8238,29.2538,29.5538
26.5388,-183.6981,47.7799,28.8857,29.1857
27.0192,-184.1765,47.7360,28.5129,28.8129
27.4996,-184.6548,47.6921,28.1354,28.4354
27.9800,-185.1332,47.6482,27.7534,28.0534
28.4604,-185.6116,47.6043,27.3668,27.6668
28.9408,-186.0900,47.5604,26.9759,27.2759
29.4208,-186.5657,47.4961,26.5736,26.8736
29.9008,-187.0414,47.4318,26.1673,26.4673
30.3808,-187.5170,47.3674,25.7572,26.0572
30.8608,-187.9927,47.3031,25.3434,25.6434
31.3408,-188.4684,47.2388,24.9258,25.2258
31.8208,-188.9440,47.1744,24.5047,24.8047
32.3008,-189.4197,47.1101,24.0800,24.3800
32.7808,-189.8954,47.0458,23.6519,23.9519
